Conference,Year,Name,Institution,Countries
asplos,2022,Baptiste Lepers,The University of Sydney,Australia
asplos,2022,Wenguang Chen,Tsinghua University,China
asplos,2022,Steven Swanson,UC San Diego,United States
asplos,2022,Yuanyuan Zhou,UC San Diego,United States
asplos,2022,Tyler Sorensen,UC Santa Cruz,United States
asplos,2022,Harry Xu,UCLA,United States
asplos,2022,Prashant Nair,University of British Columbia,United States
asplos,2022,Yiying Zhang,"University of California, San Diego",United States
asplos,2022,Yufei Ding,"University of California, Santa Barbara",United States
asplos,2022,Henry Hoffmann,University of Chicago,United States
asplos,2022,Shan Lu,University of Chicago,United States
asplos,2022,Yanjing Li,University of Chicago,United States
asplos,2022,Joseph Izraelevitz,"University of Colorado, Boulder",United States
asplos,2022,Tamara Lehman,"University of Colorado, Boulder",United States
asplos,2022,Michael O'Boyle,University of Edinburgh,United Kingdom
asplos,2022,Sarita Adve,University of Illinois at Urbana-Champaign,United States
asplos,2022,Amirhossein Mirhosseini,University of Michigan,United States
asplos,2022,Baris Kasikci,University of Michigan,United States
asplos,2022,Thomas Wenisch,University of Michigan,United States
asplos,2022,Akshitha Sriraman,University of Michigan / Carnegie Mellon University,United States
asplos,2022,Yatin Manerkar,University of Michigan / UC Berkeley,United States
asplos,2022,"Jing ""Jane"" Li",University of Pennsylvania,United States
asplos,2022,Joseph Devietti,University of Pennsylvania,United States
asplos,2022,Xuehai Qian,University of Southern California,United States
asplos,2022,Christopher Rossbach,University of Texas at Austin and Katana Graph,United States
asplos,2022,Angela Demke Brown,University of Toronto,Canada
asplos,2022,Nandita Vijaykumar,University of Toronto,Canada
asplos,2022,Gennady Pekhimenko,University of Toronto / Vector Institute,Canada
asplos,2022,Samira Khan,University of Virginia,United States
asplos,2022,Ras Bodik,University of Washington,United States
asplos,2022,Joshua San Miguel,University of Wisconsin-Madison,United States
asplos,2022,Emmett Witchel,UT Austin and Katana Graph,United States
asplos,2022,Gerd Zellweger,VMware Research,United States
asplos,2022,Jayneel Gandhi,VMware Research,United States
asplos,2022,Adwait Jog,William & Mary,United States
asplos,2022,Yongshan Ding,Yale University,United States
asplos,2023,Aritra Sengupta,Amazon,United States
asplos,2023,Sergey Blagodurov,AMD,United States
asplos,2023,Sumanth Gudaparthi,AMD Research,United States
asplos,2023,Tony Gutierrez,AMD Research,United States
asplos,2023,Gustavo Petri,"ARM Research, Cambridge, UK",United Kingdom
asplos,2023,Shoaib Akram,Australian National University,Australia
asplos,2023,Akshitha Sriraman,Carnegie Mellon University,United States
asplos,2023,Brandon Lucia,Carnegie Mellon University,United States
asplos,2023,Dimitrios Skarlatos,Carnegie Mellon University,United States
asplos,2023,Nathan Beckmann,CMU,United States
asplos,2023,Jason Nieh,Columbia University,United States
asplos,2023,Martha Kim,Columbia University,United States
asplos,2023,Adrian Sampson,Cornell University,United States
asplos,2023,Przemysław Pawełczak,Delft University of Technology,Netherlands
asplos,2023,Daniel Sorin,Duke University,United States
asplos,2023,Jeff Chase,Duke University,United States
asplos,2023,Edouard Bugnion,EPFL,Switzerland
asplos,2023,Wenjie Xiong,Facebook/Virginia Tech,United States
asplos,2023,Radha Venkatagiri,Georgetown University,United States
asplos,2023,Tushar Krishna,Georgia Institute of Technology,Georgia
asplos,2023,Alexandros Daglis,Georgia Tech,United States
asplos,2023,Lieven Eeckhout,Ghent University,Belgium
asplos,2023,Akanksha Jain,Google,United States
asplos,2023,Kristin Barber,Google,United States
asplos,2023,Meghan Cowan,Google,United States
asplos,2023,Ravi Rajwar,Google,United States
asplos,2023,Sundar Dev,Google,United States
asplos,2023,Suvinay Subramanian,Google,United States
asplos,2023,Tae Jun Ham,Google,United States
asplos,2023,Vidushi Dadu,Google,United States
asplos,2023,Shuang Chen,Huawei,China
